#MtLemmon 5.7mm N  9100ft STD			
#T=exp(-b*sqrt(AM)-c*AM) @1AM
#Wave  b (sqrt crv gr)  c (lin crv gr)
10.192	0.00035181	0.03636444
10.196	0.00041532	0.0361486
10.2	0.00035458	0.03450917
10.204	0.00047554	0.03459595
10.208	0.00065475	0.03526854
10.212	0.00064871	0.03474773
10.216	0.00106113	0.0372448
10.22	0.00156363	0.04062321
10.224	0.00169784	0.04108645
10.228	0.00261435	0.04316733
10.232	0.0047854	0.04758819
10.236	0.00638864	0.04667538
10.24	0.00785097	0.04494165
10.244	0.00974913	0.04680696
10.248	0.01034967	0.04642566
10.252	0.00889287	0.0434604
10.256	0.00833242	0.04563307
10.26	0.00808125	0.05002807
10.264	0.00729534	0.0504264
10.268	0.00691928	0.05094814
10.272	0.00718478	0.0524553
10.276	0.00636514	0.05102861
10.28	0.00515944	0.0479342
10.284	0.00425031	0.04736907
10.288	0.00379573	0.04929061
10.292	0.00326928	0.04912743
10.296	0.00315108	0.04736795
10.3	0.00306503	0.04489862
10.304	0.00302446	0.04280408
10.308	0.00225034	0.03693917
10.312	0.00172751	0.03274644
10.316	0.0015139	0.03170982
10.32	0.00138077	0.0314009
10.324	0.00094692	0.02939422
10.328	0.00103124	0.03012275
10.332	0.00121977	0.03225444
10.336	0.00114697	0.0331621
10.34	0.00099219	0.03332441
10.344	0.00093774	0.03396224
10.348	0.00074298	0.03392227
10.352	0.00034161	0.03190485
10.356	-2.26E-05	0.02885947
10.36	-0.0002912	0.02638723
10.364	-0.00049	0.02488569
10.368	-0.0007167	0.02266463
10.372	-0.0008715	0.02076031
10.376	-0.0009595	0.01993944
10.38	-0.0010385	0.01958965
10.384	-0.0011804	0.01834026
10.388	-0.0012722	0.0174679
10.392	-0.0013129	0.01706903
10.396	-0.001363	0.01675117
10.4	-0.0014216	0.01599596
10.404	-0.0014136	0.01622389
10.408	-0.0013528	0.01745711
10.412	-0.0012843	0.0188086
10.416	-0.0012156	0.02009888
10.42	-0.0011565	0.02150023
10.424	-0.0010705	0.02243778
10.428	-0.0010237	0.02200941
10.432	-0.000988	0.0212813
10.436	-0.0009616	0.02058695
10.44	-0.0008687	0.02064561
10.444	-0.0007877	0.02068877
10.448	-0.0006395	0.02212078
10.452	0.00075861	0.02602167
10.456	0.0022259	0.03066986
10.46	0.00370116	0.03565719
10.464	0.00501605	0.04004593
10.468	0.00624892	0.04275496
10.472	0.00567277	0.04197306
10.476	0.00505975	0.04142064
10.48	0.00433752	0.03959669
10.484	0.00365642	0.03798287
10.488	0.00300763	0.03713952
10.492	0.00274379	0.0357076
10.496	0.00233879	0.03346497
10.5	0.00185128	0.03089259
10.504	0.00133377	0.02872745
10.508	0.00079656	0.02673827
10.512	0.00067702	0.02632377
10.516	0.00071792	0.02621495
10.52	0.00077458	0.02636975
10.524	0.00081772	0.02678118
